feature,form,p_raw,p_react
BVP_hr_mean,delta,0.028404024519659288,0.028404024519659288
BVP_peak_count,delta,0.02391939147428198,0.03203355581465631
BVP_rr_mean,delta,0.03843086781580496,0.03843086781580496
BVP_sdnn,delta,0.8575756858699606,0.8575756858699606
BVP_rmssd,delta,0.7778987687379413,0.7778987687379413
BVP_pnn20,delta,0.10808654049699239,0.11158538601557666
BVP_peak_amp_mean,delta,0.29131107634020736,0.29131107634020736
BVP_peak_amp_std,delta,0.979548961537148,0.979548961537148
BVP_risetime_mean,delta,0.22085343144863145,0.22085343144863145
BVP_env_std,delta,0.34791725337890966,0.34791725337890966
EDA_tonic_mean,delta,0.7195597712516246,0.7195597712516246
EDA_tonic_slope,delta,0.61684943961518,0.61684943961518
EDA_scr_count,delta,0.1133152317673217,0.08346202031089221
EDA_scr_amp_mean,delta,0.2972828802967342,0.2972828802967342
EDA_scr_rate,delta,0.10008091696890205,0.08076352382970829
EDA_range,delta,0.5209959815183538,0.5209959815183538
RESP_rate,delta,0.06344208668360807,0.06344208668360807
RESP_interval_std,delta,0.979548961537148,0.979548961537148
RESP_amp_mean,delta,0.08484379739729775,0.08484379739729775
RESP_amp_std,delta,0.0027370042153052054,0.0027370042153052054
RESP_ie_ratio,delta,0.7291827946046396,0.7291827946046396
BVP_RESP_envcorr,delta,0.6534846488639232,0.6534846488639232
Bvp_approx_entropy,delta,0.3821318248692478,0.3821318248692478
Bvp_bp_vhf,delta,0.3156751996402818,0.3156751996402818
Bvp_bp_vhf_rel,delta,0.14440123377244163,0.14440123377244163
Bvp_dfa_alpha,delta,0.14082645391044935,0.14082645391044935
Bvp_dom_freq_cardiac,delta,0.7947716666092365,0.6052051124270644
Bvp_energy,delta,0.979548961537148,0.979548961537148
Bvp_hjorth_activity,delta,0.7195597712516246,0.7195597712516246
Bvp_hjorth_complexity,delta,0.7195597712516246,0.7195597712516246
Bvp_hjorth_mobility,delta,0.48005534486310353,0.48005534486310353
Bvp_iqr,delta,0.928507554411226,0.928507554411226
Bvp_kurtosis,delta,0.9081598007287539,0.9081598007287539
Bvp_mad,delta,0.989773659029197,0.989773659029197
Bvp_max,delta,0.5293899788184717,0.5293899788184717
Bvp_mcr,delta,0.08134801769332889,0.08247574753477238
Bvp_mean,delta,0.989773659029197,0.989773659029197
Bvp_mean_abs,delta,0.989773659029197,0.989773659029197
Bvp_mean_freq,delta,0.3821318248692478,0.3821318248692478
Bvp_min,delta,0.7680801663736929,0.7680801663736929
Bvp_p10,delta,0.8475205228487539,0.8475205228487539
Bvp_p90,delta,0.7877521902091758,0.7877521902091758
Bvp_peak_freq,delta,0.9891555463685502,0.7557500370599349
Bvp_peak_power,delta,0.2626414680380549,0.2626414680380549
Bvp_peak_rel_power,delta,0.2159780677402523,0.2159780677402523
Bvp_perm_entropy,delta,0.1754823057235626,0.1754823057235626
Bvp_petrosian_fd,delta,0.01175420943673089,0.01175420943673089
Bvp_rms,delta,1.0,1.0
Bvp_samp_entropy,delta,0.2411245661933208,0.2411245661933208
Bvp_skew,delta,0.61684943961518,0.61684943961518
Bvp_spec_bandwidth,delta,0.09227144024953304,0.09227144024953304
Bvp_spec_centroid,delta,0.3821318248692478,0.3821318248692478
Bvp_spec_edge_95,delta,0.2735097161766189,0.2541265851342066
Bvp_spec_entropy,delta,0.4962226413526878,0.4962226413526878
Bvp_spec_flatness,delta,0.32196494471736514,0.32196494471736514
Bvp_spec_spread,delta,0.09227144024953304,0.09227144024953304
Bvp_std,delta,0.9081598007287539,0.9081598007287539
Bvp_total_power,delta,0.5463773318097083,0.5463773318097083
Bvp_zcr,delta,0.08134801769332889,0.08247574753477238
Eda_approx_entropy,delta,0.2411245661933208,0.2411245661933208
Eda_bp_higher,delta,0.4720783438460785,0.4720783438460785
Eda_bp_higher_rel,delta,0.2159780677402523,0.2159780677402523
Eda_dfa_alpha,delta,0.44858183588075917,0.44858183588075917
Eda_energy,delta,0.4720783438460785,0.4720783438460785
Eda_hjorth_activity,delta,0.8274844261859471,0.8274844261859471
Eda_hjorth_complexity,delta,0.2626414680380549,0.2626414680380549
Eda_hjorth_mobility,delta,0.44858183588075917,0.44858183588075917
Eda_iqr,delta,0.5988687414364904,0.5988687414364904
Eda_kurtosis,delta,0.07789686875457846,0.07789686875457846
Eda_mad,delta,0.6078300836870767,0.6078300836870767
Eda_max,delta,0.709980035901026,0.709980035901026
Eda_mcr,delta,0.27960565184093866,0.27960565184093866
Eda_mean,delta,0.3546030777852138,0.3546030777852138
Eda_mean_abs,delta,0.3546030777852138,0.3546030777852138
Eda_mean_freq,delta,0.2064557713110844,0.2064557713110844
Eda_min,delta,0.518809073978113,0.518809073978113
Eda_p10,delta,0.45634096628145926,0.45634096628145926
Eda_p90,delta,0.8274844261859471,0.8274844261859471
Eda_peak_freq,delta,0.05878172135535886,0.06559969214707187
Eda_peak_power,delta,0.7877521902091758,0.7877521902091758
Eda_peak_rel_power,delta,0.8075575921830023,0.8075575921830023
Eda_perm_entropy,delta,0.61684943961518,0.61684943961518
Eda_petrosian_fd,delta,0.5044115197324572,0.5044115197324572
Eda_rms,delta,0.34791725337890966,0.34791725337890966
Eda_samp_entropy,delta,0.27960565184093866,0.27960565184093866
Eda_skew,delta,0.8475205228487539,0.8475205228487539
Eda_spec_bandwidth,delta,0.44858183588075917,0.44858183588075917
Eda_spec_centroid,delta,0.2064557713110844,0.2064557713110844
Eda_spec_entropy,delta,0.4641733385296902,0.4641733385296902
Eda_spec_flatness,delta,0.748553222285409,0.748553222285409
Eda_spec_spread,delta,0.44858183588075917,0.44858183588075917
Eda_std,delta,0.8475205228487539,0.8475205228487539
Eda_total_power,delta,0.7680801663736929,0.7680801663736929
Eda_zcr,delta,0.27960565184093866,0.27960565184093866
Resp_approx_entropy,delta,0.33478262717562757,0.33478262717562757
Resp_dfa_alpha,delta,0.918327135634172,0.918327135634172
Resp_energy,delta,0.039707179644210555,0.039707179644210555
Resp_hjorth_activity,delta,0.04965868434828735,0.04965868434828735
Resp_hjorth_complexity,delta,0.20180805521795264,0.20180805521795264
Resp_hjorth_mobility,delta,0.8575756858699606,0.8575756858699606
Resp_iqr,delta,0.026503855173359625,0.026503855173359625
Resp_kurtosis,delta,0.4408965276352319,0.4408965276352319
Resp_mad,delta,0.005146286908711772,0.005146286908711772
Resp_max,delta,0.22085343144863145,0.22085343144863145
Resp_mcr,delta,0.7551839940292214,0.7482280689650106
Resp_mean,delta,0.9081598007287539,0.9081598007287539
Resp_mean_abs,delta,0.017863041406599223,0.017863041406599223
Resp_mean_freq,delta,0.4962226413526878,0.4962226413526878
Resp_min,delta,0.07352257130241924,0.07352257130241924
Resp_p10,delta,0.26821717614620866,0.26821717614620866
Resp_p90,delta,0.37513229986052465,0.37513229986052465
Resp_peak_freq,delta,0.11183552183735439,0.11183552183735439
Resp_peak_power,delta,0.01658421995853132,0.01658421995853132
Resp_peak_rel_power,delta,0.589966487134916,0.589966487134916
Resp_perm_entropy,delta,0.1927373912940311,0.1927373912940311
Resp_petrosian_fd,delta,0.15938207093404344,0.15938207093404344
Resp_rms,delta,0.033661187841971696,0.033661187841971696
Resp_samp_entropy,delta,0.14082645391044935,0.14082645391044935
Resp_skew,delta,0.008534936647265567,0.008534936647265567
Resp_spec_bandwidth,delta,0.16728996442998323,0.16728996442998323
Resp_spec_centroid,delta,0.4962226413526878,0.4962226413526878
Resp_spec_edge_95,delta,0.42595354045077094,0.31854460263618056
Resp_spec_entropy,delta,0.5811243694488439,0.5811243694488439
Resp_spec_flatness,delta,0.061566552753902215,0.061566552753902215
Resp_spec_spread,delta,0.16728996442998323,0.16728996442998323
Resp_std,delta,0.03598027290627215,0.03598027290627215
Resp_total_power,delta,0.019225241039748653,0.019225241039748653
Resp_zcr,delta,0.7551839940292214,0.7482280689650106
raw_Bvp_mean,delta,0.989773659029197,0.989773659029197
raw_Bvp_std,delta,0.9081598007287539,0.9081598007287539
raw_Bvp_min,delta,0.7680801663736929,0.7680801663736929
raw_Bvp_max,delta,0.5293899788184717,0.5293899788184717
Bvp_median,delta,0.4881036754895831,0.4881036754895831
raw_Bvp_iqr,delta,0.928507554411226,0.928507554411226
raw_Bvp_skew,delta,0.61684943961518,0.61684943961518
raw_Bvp_kurtosis,delta,0.9081598007287539,0.9081598007287539
Bvp_range,delta,0.4332855930115329,0.4332855930115329
raw_Bvp_mad,delta,0.989773659029197,0.989773659029197
raw_Bvp_rms,delta,1.0,1.0
Bvp_cv,delta,0.928507554411226,0.928507554411226
Bvp_diff_std,delta,0.019938929212912626,0.019938929212912626
Bvp_n_extrema,delta,0.012842424168366763,0.012842424168366763
raw_Eda_mean,delta,0.3546030777852138,0.3546030777852138
raw_Eda_std,delta,0.8475205228487539,0.8475205228487539
raw_Eda_min,delta,0.518809073978113,0.518809073978113
raw_Eda_max,delta,0.709980035901026,0.709980035901026
Eda_median,delta,0.20180805521795264,0.20180805521795264
raw_Eda_iqr,delta,0.5988687414364904,0.5988687414364904
raw_Eda_skew,delta,0.8475205228487539,0.8475205228487539
raw_Eda_kurtosis,delta,0.07789686875457846,0.07789686875457846
Eda_range,delta,0.5209959815183538,0.5209959815183538
raw_Eda_mad,delta,0.6078300836870767,0.6078300836870767
raw_Eda_rms,delta,0.34791725337890966,0.34791725337890966
Eda_cv,delta,0.6078300836870767,0.6078300836870767
Eda_diff_std,delta,0.681513923390412,0.681513923390412
Eda_n_extrema,delta,0.5099989369104945,0.5100754135545671
raw_Resp_mean,delta,0.9081598007287539,0.9081598007287539
raw_Resp_std,delta,0.03598027290627215,0.03598027290627215
raw_Resp_min,delta,0.07352257130241924,0.07352257130241924
raw_Resp_max,delta,0.22085343144863145,0.22085343144863145
Resp_median,delta,0.989773659029197,0.989773659029197
raw_Resp_iqr,delta,0.026503855173359625,0.026503855173359625
raw_Resp_skew,delta,0.008534936647265567,0.008534936647265567
raw_Resp_kurtosis,delta,0.4408965276352319,0.4408965276352319
Resp_range,delta,0.01658421995853132,0.01658421995853132
raw_Resp_mad,delta,0.005146286908711772,0.005146286908711772
raw_Resp_rms,delta,0.033661187841971696,0.033661187841971696
Resp_cv,delta,0.44858183588075917,0.44858183588075917
Resp_diff_std,delta,0.006653708996964269,0.006653708996964269
Resp_n_extrema,delta,0.22085343144863145,0.22085343144863145
BVP_hr_mean,ratio,0.028404024519659288,0.033661187841971696
BVP_peak_count,ratio,0.02391939147428198,0.030396722854506442
BVP_rr_mean,ratio,0.03843086781580496,0.03254928721435135
BVP_sdnn,ratio,0.8575756858699606,0.75829783813424
BVP_rmssd,ratio,0.7778987687379413,0.928507554411226
BVP_pnn20,ratio,0.10808654049699239,0.09227144024953304
BVP_peak_amp_mean,ratio,0.29131107634020736,0.2626414680380549
BVP_peak_amp_std,ratio,0.979548961537148,0.8075575921830023
BVP_risetime_mean,ratio,0.22085343144863145,0.2159780677402523
BVP_env_std,ratio,0.34791725337890966,0.5293899788184717
EDA_tonic_mean,ratio,0.7195597712516246,0.8676535108124881
EDA_tonic_slope,ratio,0.61684943961518,0.36821082676488004
EDA_scr_count,ratio,0.1133152317673217,0.1235273628752079
EDA_scr_amp_mean,ratio,0.2972828802967342,0.14440123377244163
EDA_scr_rate,ratio,0.10008091696890205,0.1235273628752079
EDA_range,ratio,0.5209959815183538,0.5209959815183538
RESP_rate,ratio,0.06344208668360807,0.06536346826487716
RESP_interval_std,ratio,0.979548961537148,0.8374895854585702
RESP_amp_mean,ratio,0.08484379739729775,0.11763992010128277
RESP_amp_std,ratio,0.0027370042153052054,0.005374416155973449
RESP_ie_ratio,ratio,0.7291827946046396,0.61684943961518
BVP_RESP_envcorr,ratio,0.6534846488639232,0.42574955480904464
Bvp_approx_entropy,ratio,0.3821318248692478,0.4720783438460785
Bvp_bp_vhf,ratio,0.3156751996402818,0.3821318248692478
Bvp_bp_vhf_rel,ratio,0.14440123377244163,0.21117897516887751
Bvp_dfa_alpha,ratio,0.14082645391044935,0.1713503034607129
Bvp_dom_freq_cardiac,ratio,0.7947716666092365,0.7860507791344753
Bvp_energy,ratio,0.979548961537148,0.989773659029197
Bvp_hjorth_activity,ratio,0.7195597712516246,0.918327135634172
Bvp_hjorth_complexity,ratio,0.7195597712516246,0.709980035901026
Bvp_hjorth_mobility,ratio,0.48005534486310353,0.4641733385296902
Bvp_iqr,ratio,0.928507554411226,0.8475205228487539
Bvp_kurtosis,ratio,0.9081598007287539,0.03254928721435135
Bvp_mad,ratio,0.989773659029197,0.9386994348724329
Bvp_max,ratio,0.5293899788184717,0.5293899788184717
Bvp_mcr,ratio,0.08134801769332889,0.27960565184093866
Bvp_mean,ratio,0.989773659029197,0.989773659029197
Bvp_mean_abs,ratio,0.989773659029197,0.989773659029197
Bvp_mean_freq,ratio,0.3821318248692478,0.33478262717562757
Bvp_min,ratio,0.7680801663736929,0.7976389600380571
Bvp_p10,ratio,0.8475205228487539,0.8475205228487539
Bvp_p90,ratio,0.7877521902091758,0.7778987687379413
Bvp_peak_freq,ratio,0.9891555463685502,0.9785330095828078
Bvp_peak_power,ratio,0.2626414680380549,0.3821318248692478
Bvp_peak_rel_power,ratio,0.2159780677402523,0.2411245661933208
Bvp_perm_entropy,ratio,0.1754823057235626,0.1713503034607129
Bvp_petrosian_fd,ratio,0.01175420943673089,0.01175420943673089
Bvp_rms,ratio,1.0,1.0
Bvp_samp_entropy,ratio,0.2411245661933208,0.30946492834027595
Bvp_skew,ratio,0.61684943961518,0.5723434113106123
Bvp_spec_bandwidth,ratio,0.09227144024953304,0.1927373912940311
Bvp_spec_centroid,ratio,0.3821318248692478,0.33478262717562757
Bvp_spec_edge_95,ratio,0.2735097161766189,0.5811243694488439
Bvp_spec_entropy,ratio,0.4962226413526878,0.5988687414364904
Bvp_spec_flatness,ratio,0.32196494471736514,0.32196494471736514
Bvp_spec_spread,ratio,0.09227144024953304,0.1927373912940311
Bvp_std,ratio,0.9081598007287539,0.8575756858699606
Bvp_total_power,ratio,0.5463773318097083,0.5636246097647017
Bvp_zcr,ratio,0.08134801769332889,0.27960565184093866
Eda_approx_entropy,ratio,0.2411245661933208,0.3283341129190376
Eda_bp_higher,ratio,0.4720783438460785,0.5549689353110807
Eda_bp_higher_rel,ratio,0.2159780677402523,0.14082645391044935
Eda_dfa_alpha,ratio,0.44858183588075917,0.7388477399363182
Eda_energy,ratio,0.4720783438460785,0.9693275504196208
Eda_hjorth_activity,ratio,0.8274844261859471,0.8980071655796564
Eda_hjorth_complexity,ratio,0.2626414680380549,0.2626414680380549
Eda_hjorth_mobility,ratio,0.44858183588075917,0.48005534486310353
Eda_iqr,ratio,0.5988687414364904,0.5988687414364904
Eda_kurtosis,ratio,0.07789686875457846,0.08484379739729775
Eda_mad,ratio,0.6078300836870767,0.589966487134916
Eda_max,ratio,0.709980035901026,0.8475205228487539
Eda_mcr,ratio,0.27960565184093866,0.30946492834027595
Eda_mean,ratio,0.3546030777852138,0.662777097810249
Eda_mean_abs,ratio,0.3546030777852138,0.662777097810249
Eda_mean_freq,ratio,0.2064557713110844,0.2064557713110844
Eda_min,ratio,0.518809073978113,0.8824577783798314
Eda_p10,ratio,0.45634096628145926,0.959111066843434
Eda_p90,ratio,0.8274844261859471,0.979548961537148
Eda_peak_freq,ratio,0.05878172135535886,0.06559969214707187
Eda_peak_power,ratio,0.7877521902091758,0.2972828802967342
Eda_peak_rel_power,ratio,0.8075575921830023,0.7976389600380571
Eda_perm_entropy,ratio,0.61684943961518,0.6078300836870767
Eda_petrosian_fd,ratio,0.5044115197324572,0.5044115197324572
Eda_rms,ratio,0.34791725337890966,0.6534846488639232
