feature,form,p_raw,p_react
Eda_samp_entropy,ratio,0.27960565184093866,0.4332855930115329
Eda_skew,ratio,0.8475205228487539,0.33478262717562757
Eda_spec_bandwidth,ratio,0.44858183588075917,0.5723434113106123
Eda_spec_centroid,ratio,0.2064557713110844,0.2064557713110844
Eda_spec_entropy,ratio,0.4641733385296902,0.4641733385296902
Eda_spec_flatness,ratio,0.748553222285409,0.8676535108124881
Eda_spec_spread,ratio,0.44858183588075917,0.5723434113106123
Eda_std,ratio,0.8475205228487539,0.8575756858699606
Eda_total_power,ratio,0.7680801663736929,0.2738718546979726
Eda_zcr,ratio,0.27960565184093866,0.30946492834027595
Resp_approx_entropy,ratio,0.33478262717562757,0.26821717614620866
Resp_dfa_alpha,ratio,0.918327135634172,0.918327135634172
Resp_energy,ratio,0.039707179644210555,0.03480462813149643
Resp_hjorth_activity,ratio,0.04965868434828735,0.061566552753902215
Resp_hjorth_complexity,ratio,0.20180805521795264,0.1029577271638118
Resp_hjorth_mobility,ratio,0.8575756858699606,0.959111066843434
Resp_iqr,ratio,0.026503855173359625,0.05450788525649841
Resp_kurtosis,ratio,0.4408965276352319,0.5636246097647017
Resp_mad,ratio,0.005146286908711772,0.007543199249084864
Resp_max,ratio,0.22085343144863145,0.41090411606546695
Resp_mcr,ratio,0.7551839940292214,0.8233176179850374
Resp_mean,ratio,0.9081598007287539,0.6078300836870767
Resp_mean_abs,ratio,0.017863041406599223,0.018533456724071584
Resp_mean_freq,ratio,0.4962226413526878,0.5636246097647017
Resp_min,ratio,0.07352257130241924,0.09750028012513212
Resp_p10,ratio,0.26821717614620866,0.2972828802967342
Resp_p90,ratio,0.37513229986052465,0.36136767286006943
Resp_peak_freq,ratio,0.11183552183735439,0.11484960926328612
Resp_peak_power,ratio,0.01658421995853132,0.02559470177948242
Resp_peak_rel_power,ratio,0.589966487134916,0.6078300836870767
Resp_perm_entropy,ratio,0.1927373912940311,0.1713503034607129
Resp_petrosian_fd,ratio,0.15938207093404344,0.15553337945220846
Resp_rms,ratio,0.033661187841971696,0.024712023870961275
Resp_samp_entropy,ratio,0.14082645391044935,0.0673314514097001
Resp_skew,ratio,0.008534936647265567,0.002611676905871718
Resp_spec_bandwidth,ratio,0.16728996442998323,0.2064557713110844
Resp_spec_centroid,ratio,0.4962226413526878,0.5636246097647017
Resp_spec_edge_95,ratio,0.42595354045077094,0.3001975409294876
Resp_spec_entropy,ratio,0.5811243694488439,0.6078300836870767
Resp_spec_flatness,ratio,0.061566552753902215,0.08484379739729775
Resp_spec_spread,ratio,0.16728996442998323,0.2064557713110844
Resp_std,ratio,0.03598027290627215,0.046626652829218074
Resp_total_power,ratio,0.019225241039748653,0.02744009119396651
Resp_zcr,ratio,0.7551839940292214,0.8233176179850374
raw_Bvp_mean,ratio,0.989773659029197,0.989773659029197
raw_Bvp_std,ratio,0.9081598007287539,0.8575756858699606
raw_Bvp_min,ratio,0.7680801663736929,0.7976389600380571
raw_Bvp_max,ratio,0.5293899788184717,0.5293899788184717
Bvp_median,ratio,0.4881036754895831,0.4962226413526878
raw_Bvp_iqr,ratio,0.928507554411226,0.8475205228487539
raw_Bvp_skew,ratio,0.61684943961518,0.5723434113106123
raw_Bvp_kurtosis,ratio,0.9081598007287539,0.03041747971838049
Bvp_range,ratio,0.4332855930115329,0.8374895854585702
raw_Bvp_mad,ratio,0.989773659029197,0.9386994348724329
raw_Bvp_rms,ratio,1.0,1.0
Bvp_cv,ratio,0.928507554411226,0.8274844261859471
Bvp_diff_std,ratio,0.019938929212912626,0.021434197553389822
Bvp_n_extrema,ratio,0.012842424168366763,0.012222479083902726
raw_Eda_mean,ratio,0.3546030777852138,0.662777097810249
raw_Eda_std,ratio,0.8475205228487539,0.8575756858699606
raw_Eda_min,ratio,0.518809073978113,0.8824577783798314
raw_Eda_max,ratio,0.709980035901026,0.8475205228487539
Eda_median,ratio,0.20180805521795264,0.3283341129190376
raw_Eda_iqr,ratio,0.5988687414364904,0.5988687414364904
raw_Eda_skew,ratio,0.8475205228487539,0.33478262717562757
raw_Eda_kurtosis,ratio,0.07789686875457846,0.08484379739729775
Eda_range,ratio,0.5209959815183538,0.5209959815183538
raw_Eda_mad,ratio,0.6078300836870767,0.589966487134916
raw_Eda_rms,ratio,0.34791725337890966,0.6534846488639232
Eda_cv,ratio,0.6078300836870767,0.7976389600380571
Eda_diff_std,ratio,0.681513923390412,0.34131038405666914
Eda_n_extrema,ratio,0.5099989369104945,0.518809073978113
raw_Resp_mean,ratio,0.9081598007287539,0.6078300836870767
raw_Resp_std,ratio,0.03598027290627215,0.046626652829218074
raw_Resp_min,ratio,0.07352257130241924,0.09750028012513212
raw_Resp_max,ratio,0.22085343144863145,0.41090411606546695
Resp_median,ratio,0.989773659029197,0.7680801663736929
raw_Resp_iqr,ratio,0.026503855173359625,0.05450788525649841
raw_Resp_skew,ratio,0.008534936647265567,0.002611676905871718
raw_Resp_kurtosis,ratio,0.4408965276352319,0.5723434113106123
Resp_range,ratio,0.01658421995853132,0.03843086781580496
raw_Resp_mad,ratio,0.005146286908711772,0.007543199249084864
raw_Resp_rms,ratio,0.033661187841971696,0.024712023870961275
Resp_cv,ratio,0.44858183588075917,0.5293899788184717
Resp_diff_std,ratio,0.006653708996964269,0.010864049822885136
Resp_n_extrema,ratio,0.22085343144863145,0.06344208668360807
BVP_hr_mean,zdev,0.028404024519659288,0.02939627745126927
BVP_peak_count,zdev,0.02391939147428198,0.039460701220147214
BVP_rr_mean,zdev,0.03843086781580496,0.03254928721435135
BVP_sdnn,zdev,0.8575756858699606,0.7976389600380571
BVP_rmssd,zdev,0.7778987687379413,0.8075575921830023
BVP_pnn20,zdev,0.10808654049699239,0.13050103672776459
BVP_peak_amp_mean,zdev,0.29131107634020736,0.2738718546979726
BVP_peak_amp_std,zdev,0.979548961537148,0.6259257100791729
BVP_risetime_mean,zdev,0.22085343144863145,0.2854186921940709
BVP_env_std,zdev,0.34791725337890966,0.42574955480904464
EDA_tonic_mean,zdev,0.7195597712516246,0.6078300836870767
EDA_tonic_slope,zdev,0.61684943961518,0.29131107634020736
EDA_scr_count,zdev,0.1133152317673217,0.08779223881250198
EDA_scr_amp_mean,zdev,0.2972828802967342,0.10577401981299772
EDA_scr_rate,zdev,0.10008091696890205,0.08779223881250198
EDA_range,zdev,0.5209959815183538,0.4332855930115329
RESP_rate,zdev,0.06344208668360807,0.03718879357074911
RESP_interval_std,zdev,0.979548961537148,0.8175065857803929
RESP_amp_mean,zdev,0.08484379739729775,0.09750028012513212
RESP_amp_std,zdev,0.0027370042153052054,0.007861958162720839
RESP_ie_ratio,zdev,0.7291827946046396,0.7388477399363182
BVP_RESP_envcorr,zdev,0.6534846488639232,0.4332855930115329
Bvp_approx_entropy,zdev,0.3821318248692478,0.3156751996402818
Bvp_bp_vhf,zdev,0.3156751996402818,0.29131107634020736
Bvp_bp_vhf_rel,zdev,0.14440123377244163,0.1373185929387546
Bvp_dfa_alpha,zdev,0.14082645391044935,0.1754823057235626
Bvp_dom_freq_cardiac,zdev,0.7947716666092365,0.6473838280326782
Bvp_energy,zdev,0.979548961537148,0.7388477399363182
Bvp_hjorth_activity,zdev,0.7195597712516246,0.9693275504196208
Bvp_hjorth_complexity,zdev,0.7195597712516246,0.9386994348724329
Bvp_hjorth_mobility,zdev,0.48005534486310353,0.5293899788184717
Bvp_iqr,zdev,0.928507554411226,0.8575756858699606
Bvp_kurtosis,zdev,0.9081598007287539,0.8980071655796564
Bvp_mad,zdev,0.989773659029197,0.918327135634172
Bvp_max,zdev,0.5293899788184717,0.4641733385296902
Bvp_mcr,zdev,0.08134801769332889,0.15938207093404344
Bvp_mean,zdev,0.989773659029197,0.748553222285409
Bvp_mean_abs,zdev,0.989773659029197,0.748553222285409
Bvp_mean_freq,zdev,0.3821318248692478,0.27960565184093866
Bvp_min,zdev,0.7680801663736929,0.5209959815183538
Bvp_p10,zdev,0.8475205228487539,0.8878708392185217
Bvp_p90,zdev,0.7877521902091758,0.6259257100791729
Bvp_peak_freq,zdev,0.9891555463685502,0.6375653969129598
Bvp_peak_power,zdev,0.2626414680380549,0.2738718546979726
Bvp_peak_rel_power,zdev,0.2159780677402523,0.18831355221846025
Bvp_perm_entropy,zdev,0.1754823057235626,0.1338770055808709
Bvp_petrosian_fd,zdev,0.01175420943673089,0.009638486374569766
Bvp_rms,zdev,1.0,0.7388477399363182
Bvp_samp_entropy,zdev,0.2411245661933208,0.16330074085908564
Bvp_skew,zdev,0.61684943961518,0.6259257100791729
Bvp_spec_bandwidth,zdev,0.09227144024953304,0.02939627745126927
Bvp_spec_centroid,zdev,0.3821318248692478,0.27960565184093866
Bvp_spec_edge_95,zdev,0.2735097161766189,0.2972828802967342
Bvp_spec_entropy,zdev,0.4962226413526878,0.38920910656815977
Bvp_spec_flatness,zdev,0.32196494471736514,0.2159780677402523
Bvp_spec_spread,zdev,0.09227144024953304,0.02939627745126927
Bvp_std,zdev,0.9081598007287539,0.9693275504196208
Bvp_total_power,zdev,0.5463773318097083,0.5636246097647017
Bvp_zcr,zdev,0.08134801769332889,0.15938207093404344
Eda_approx_entropy,zdev,0.2411245661933208,0.38920910656815977
Eda_bp_higher,zdev,0.4720783438460785,0.6442444748572598
Eda_bp_higher_rel,zdev,0.2159780677402523,0.19723540756422153
Eda_dfa_alpha,zdev,0.44858183588075917,0.6534846488639232
Eda_energy,zdev,0.4720783438460785,0.9081598007287539
Eda_hjorth_activity,zdev,0.8274844261859471,0.928507554411226
Eda_hjorth_complexity,zdev,0.2626414680380549,0.07141024581414968
Eda_hjorth_mobility,zdev,0.44858183588075917,0.0872652611187732
Eda_iqr,zdev,0.5988687414364904,0.44858183588075917
Eda_kurtosis,zdev,0.07789686875457846,0.03254928721435135
Eda_mad,zdev,0.6078300836870767,0.41090411606546695
Eda_max,zdev,0.709980035901026,0.9693275504196208
Eda_mcr,zdev,0.27960565184093866,0.09485765464069118
Eda_mean,zdev,0.3546030777852138,0.8175065857803929
Eda_mean_abs,zdev,0.3546030777852138,0.8175065857803929
Eda_mean_freq,zdev,0.2064557713110844,0.3546030777852138
Eda_min,zdev,0.518809073978113,0.600132072506667
Eda_p10,zdev,0.45634096628145926,0.8175065857803929
Eda_p90,zdev,0.8274844261859471,0.918327135634172
Eda_peak_freq,zdev,0.05878172135535886,0.06559969214707187
Eda_peak_power,zdev,0.7877521902091758,0.30946492834027595
Eda_peak_rel_power,zdev,0.8075575921830023,0.6534846488639232
Eda_perm_entropy,zdev,0.61684943961518,0.6534846488639232
Eda_petrosian_fd,zdev,0.5044115197324572,0.38920910656815977
Eda_rms,zdev,0.34791725337890966,0.748553222285409
Eda_samp_entropy,zdev,0.27960565184093866,0.5549689353110807
Eda_skew,zdev,0.8475205228487539,0.959111066843434
Eda_spec_bandwidth,zdev,0.44858183588075917,0.748553222285409
Eda_spec_centroid,zdev,0.2064557713110844,0.3546030777852138
Eda_spec_entropy,zdev,0.4641733385296902,0.7291827946046396
Eda_spec_flatness,zdev,0.748553222285409,0.928507554411226
Eda_spec_spread,zdev,0.44858183588075917,0.748553222285409
Eda_std,zdev,0.8475205228487539,0.918327135634172
Eda_total_power,zdev,0.7680801663736929,0.2972828802967342
Eda_zcr,zdev,0.27960565184093866,0.09485765464069118
Resp_approx_entropy,zdev,0.33478262717562757,0.37513229986052465
Resp_dfa_alpha,zdev,0.918327135634172,0.9489011496671083
Resp_energy,zdev,0.039707179644210555,0.039707179644210555
Resp_hjorth_activity,zdev,0.04965868434828735,0.0673314514097001
Resp_hjorth_complexity,zdev,0.20180805521795264,0.15938207093404344
Resp_hjorth_mobility,zdev,0.8575756858699606,0.8676535108124881
Resp_iqr,zdev,0.026503855173359625,0.039707179644210555
Resp_kurtosis,zdev,0.4408965276352319,0.34791725337890966
Resp_mad,zdev,0.005146286908711772,0.005146286908711772
Resp_max,zdev,0.22085343144863145,0.2064557713110844
Resp_mcr,zdev,0.7551839940292214,0.8016672445815889
Resp_mean,zdev,0.9081598007287539,0.7388477399363182
Resp_mean_abs,zdev,0.017863041406599223,0.009257596429051773
Resp_mean_freq,zdev,0.4962226413526878,0.5988687414364904
Resp_min,zdev,0.07352257130241924,0.06536346826487716
Resp_p10,zdev,0.26821717614620866,0.30946492834027595
Resp_p90,zdev,0.37513229986052465,0.38920910656815977
Resp_peak_freq,zdev,0.11183552183735439,0.11183552183735439
Resp_peak_power,zdev,0.01658421995853132,0.019938929212912626
Resp_peak_rel_power,zdev,0.589966487134916,0.61684943961518
Resp_perm_entropy,zdev,0.1927373912940311,0.1338770055808709
Resp_petrosian_fd,zdev,0.15938207093404344,0.05450788525649841
Resp_rms,zdev,0.033661187841971696,0.019225241039748653
Resp_samp_entropy,zdev,0.14082645391044935,0.10864966500867013
Resp_skew,zdev,0.008534936647265567,0.019225241039748653
Resp_spec_bandwidth,zdev,0.16728996442998323,0.18831355221846025
Resp_spec_centroid,zdev,0.4962226413526878,0.5988687414364904
Resp_spec_edge_95,zdev,0.42595354045077094,0.09518049235192866
Resp_spec_entropy,zdev,0.5811243694488439,0.5378507163841277
Resp_spec_flatness,zdev,0.061566552753902215,0.07568452621308097
Resp_spec_spread,zdev,0.16728996442998323,0.18831355221846025
Resp_std,zdev,0.03598027290627215,0.03480462813149643
Resp_total_power,zdev,0.019225241039748653,0.019938929212912626
Resp_zcr,zdev,0.7551839940292214,0.8016672445815889
raw_Bvp_mean,zdev,0.989773659029197,0.748553222285409
raw_Bvp_std,zdev,0.9081598007287539,0.9693275504196208
raw_Bvp_min,zdev,0.7680801663736929,0.5209959815183538
raw_Bvp_max,zdev,0.5293899788184717,0.4641733385296902
Bvp_median,zdev,0.4881036754895831,0.5636246097647017
raw_Bvp_iqr,zdev,0.928507554411226,0.8575756858699606
raw_Bvp_skew,zdev,0.61684943961518,0.6259257100791729
raw_Bvp_kurtosis,zdev,0.9081598007287539,0.8980071655796564
Bvp_range,zdev,0.4332855930115329,0.8274844261859471
raw_Bvp_mad,zdev,0.989773659029197,0.918327135634172
raw_Bvp_rms,zdev,1.0,0.7388477399363182
Bvp_cv,zdev,0.928507554411226,0.9081598007287539
Bvp_diff_std,zdev,0.019938929212912626,0.02559470177948242
Bvp_n_extrema,zdev,0.012842424168366763,0.009638486374569766
raw_Eda_mean,zdev,0.3546030777852138,0.8175065857803929
raw_Eda_std,zdev,0.8475205228487539,0.918327135634172
raw_Eda_min,zdev,0.518809073978113,0.600132072506667
raw_Eda_max,zdev,0.709980035901026,0.9693275504196208
Eda_median,zdev,0.20180805521795264,0.5378507163841277
raw_Eda_iqr,zdev,0.5988687414364904,0.44858183588075917
raw_Eda_skew,zdev,0.8475205228487539,0.959111066843434
raw_Eda_kurtosis,zdev,0.07789686875457846,0.03254928721435135
Eda_range,zdev,0.5209959815183538,0.4332855930115329
raw_Eda_mad,zdev,0.6078300836870767,0.41090411606546695
raw_Eda_rms,zdev,0.34791725337890966,0.748553222285409
Eda_cv,zdev,0.6078300836870767,0.709980035901026
Eda_diff_std,zdev,0.681513923390412,0.32196494471736514
Eda_n_extrema,zdev,0.5099989369104945,0.3971056435444211
raw_Resp_mean,zdev,0.9081598007287539,0.7388477399363182
raw_Resp_std,zdev,0.03598027290627215,0.03480462813149643
raw_Resp_min,zdev,0.07352257130241924,0.06536346826487716
raw_Resp_max,zdev,0.22085343144863145,0.2064557713110844
Resp_median,zdev,0.989773659029197,0.748553222285409
raw_Resp_iqr,zdev,0.026503855173359625,0.039707179644210555
raw_Resp_skew,zdev,0.008534936647265567,0.019225241039748653
raw_Resp_kurtosis,zdev,0.4408965276352319,0.34791725337890966
Resp_range,zdev,0.01658421995853132,0.026503855173359625
raw_Resp_mad,zdev,0.005146286908711772,0.005146286908711772
raw_Resp_rms,zdev,0.033661187841971696,0.019225241039748653
Resp_cv,zdev,0.44858183588075917,0.5126695594799457
Resp_diff_std,zdev,0.006653708996964269,0.01658421995853132
Resp_n_extrema,zdev,0.22085343144863145,0.05620752656705008
