config_id,model,params_str,feature_set,preproc,loso_macro_f1_mean,loso_macro_f1_std,n_folds,loso_acc_mean,loso_balanced_acc_mean,elapsed_s_total,val_macro_f1,val_acc,val_balanced_acc,n_val
2648c62761d6,lr_l2,"{""C"": 0.01}",top80_cliff,std,0.5844082123059899,0.10142525452066116,41,0.5873983739837398,0.5873983739837398,0.8646531105041486,0.4957922316264805,0.4965277777777778,0.4965277777777778,288.0
2fe0953bfe3f,lr_en,"{""C"": 0.1, ""l1_ratio"": 0.3}",top80_cliff,std,0.5833582673319352,0.09401431694340162,41,0.5863821138211383,0.5863821138211383,9.633842229843138,0.5168893233409362,0.5173611111111112,0.5173611111111112,288.0
b921e23d5699,gnb,{},top80_cliff,std,0.5787143923996615,0.10400994345197973,41,0.584349593495935,0.584349593495935,0.2842226028442364,0.4756375474769397,0.4756944444444444,0.4756944444444444,288.0
e92ed61c2102,lr_en,"{""C"": 0.1, ""l1_ratio"": 0.5}",top80_cliff,std,0.5772446947420437,0.09783615472800752,41,0.5802845528455285,0.5802845528455285,13.394109725952147,0.5057765746604148,0.5069444444444444,0.5069444444444444,288.0
afe7cb06815a,lr_en,"{""C"": 0.1, ""l1_ratio"": 0.7}",top80_cliff,std,0.5763934012264917,0.09548819182894229,41,0.5792682926829268,0.5792682926829268,22.374890565872192,0.4954998489882211,0.4965277777777778,0.4965277777777778,288.0
837f0da92596,lr_l1,"{""C"": 0.1}",top80_cliff,std,0.575565001066634,0.09355644238723591,41,0.5782520325203252,0.5782520325203252,0.6884458065032942,0.4954998489882211,0.4965277777777778,0.4965277777777778,288.0
363da8fb7e7b,lr_l2,"{""C"": 1.0}",top40_cliff,robust,0.575283970198894,0.10101795889450736,41,0.5792682926829268,0.5792682926829268,1.516740322113035,0.4999035307736832,0.5,0.5,288.0
0a7ed80a1535,lr_l2,"{""C"": 1.0}",top40_cliff,std,0.5732300926519094,0.09822481714842851,41,0.5772357723577236,0.5772357723577236,1.2301676273345925,0.4997828918801563,0.5,0.5,288.0
b7b5f236d52d,lr_l1,"{""C"": 1.0}",top40_cliff,robust,0.5724763657764103,0.0958065627718863,41,0.5772357723577236,0.5772357723577236,2.3107750415801984,0.5034662358487154,0.5034722222222222,0.5034722222222222,288.0
8cd8461cdbb0,lr_l1,"{""C"": 1.0}",top40_cliff,std,0.5705220497423817,0.10036761767430742,41,0.5752032520325203,0.5752032520325203,2.218461275100706,0.5069444444444444,0.5069444444444444,0.5069444444444444,288.0
2739064a552f,lr_l1,"{""C"": 1.0}",tight_pool_top40,robust,0.5702195768542698,0.09517875115131971,41,0.5752032520325203,0.5752032520325203,2.1117005348205544,0.5104107640186635,0.5104166666666666,0.5104166666666666,288.0
c0eedfab414b,svm_rbf,"{""C"": 1.0, ""gamma"": ""scale""}",top80_cliff,std,0.5700283699647433,0.11529223945296146,41,0.573170731707317,0.573170731707317,2.9689009189605695,0.4789405123751628,0.4791666666666667,0.4791666666666666,288.0
a23587d9457c,lr_l1,"{""C"": 1.0}",tight_pool_top40,std,0.5660691743869731,0.09268283247692237,41,0.5711382113821138,0.5711382113821138,2.4118359088897683,0.5069206655413552,0.5069444444444444,0.5069444444444444,288.0
d436d3b84ede,svm_linear,"{""C"": 0.1}",top80_cliff,std,0.5633058478636845,0.10888111760349907,41,0.5670731707317073,0.5670731707317073,3.181336879730223,0.5102690577551586,0.5104166666666666,0.5104166666666667,288.0
96805e2a7e3b,lr_l2,"{""C"": 1.0}",tight_pool_top40,robust,0.5614697637188125,0.09483155442475241,41,0.5670731707317073,0.5670731707317073,1.4867787361145002,0.5208333333333334,0.5208333333333334,0.5208333333333334,288.0
f01265a41f33,lr_l2,"{""C"": 1.0}",tight_pool_top40,std,0.5604369412331799,0.09530793877702365,41,0.5660569105691057,0.5660569105691057,1.1793267726898178,0.5173552921886114,0.5173611111111112,0.5173611111111112,288.0
0c0ff9e27667,lr_l1,"{""C"": 1.0}",top40_anova,robust,0.5592444459040429,0.1001661593383515,41,0.5630081300813008,0.5630081300813008,2.551588773727415,0.4962301706978708,0.4965277777777778,0.4965277777777778,288.0
d27f5bdd10de,lr_l1,"{""C"": 1.0}",top80_cliff,robust,0.5590085689025244,0.09578968071104225,41,0.5619918699186992,0.5619918699186992,3.238848924636839,0.5166560013522814,0.5173611111111112,0.5173611111111112,288.0
cce051af4c67,svm_linear,"{""C"": 1.0}",top80_cliff,std,0.557760802490389,0.10516950795338653,41,0.5619918699186992,0.5619918699186992,12.661951541900633,0.4999758861827827,0.5,0.5,288.0
3df5168b1b85,lr_l1,"{""C"": 1.0}",resp_top20,robust,0.5568172158452934,0.08676815155100893,41,0.5619918699186992,0.5619918699186992,0.7517993450164777,0.434020954149235,0.4340277777777778,0.4340277777777778,288.0
